# E_MeV_total,t_req_mm,t_lim_mm,g_mm,t_inv_mm,lambda0_mm,range_mm
3000.000000,1.000000000000e-05,1.000000000000e-05,9.999999999999e-06,1.000000000000e-05,5.840815915812e+07,4.166666666667e+02
3000.000000,1.000000000000e-04,1.000000000000e-04,9.999999999991e-05,1.000000000000e-04,5.840815915812e+07,4.166666666667e+02
3000.000000,1.000000000000e-03,1.000000000000e-03,9.999999999914e-04,1.000000000000e-03,5.840815915812e+07,4.166666666667e+02
3000.000000,5.000000000000e-03,5.000000000000e-03,4.999999999786e-03,5.000000000000e-03,5.840815915812e+07,4.166666666667e+02
3000.000000,1.000000000000e-02,1.000000000000e-02,9.999999999144e-03,1.000000000000e-02,5.840815915812e+07,4.166666666667e+02
3000.000000,2.500000000000e-02,2.500000000000e-02,2.499999999465e-02,2.500000000000e-02,5.840815915812e+07,4.166666666667e+02
3000.000000,5.000000000000e-02,5.000000000000e-02,4.999999997860e-02,5.000000000000e-02,5.840815915812e+07,4.166666666667e+02
3000.000000,1.000000000000e-01,1.000000000000e-01,9.999999991440e-02,1.000000000000e-01,5.840815915812e+07,4.166666666667e+02
3000.000000,2.500000000000e-01,2.500000000000e-01,2.499999994650e-01,2.500000000000e-01,5.840815915812e+07,4.166666666667e+02
3000.000000,6.250000000000e+02,4.166666666667e+02,4.166636943101e+02,4.166666666667e+02,5.840815915812e+07,4.166666666667e+02
3000.000000,1.250000000000e+03,4.166666666667e+02,4.166636943101e+02,4.166666666667e+02,5.840815915812e+07,4.166666666667e+02
3000.000000,2.083333333333e+02,2.083333333333e+02,2.083328772928e+02,2.083333333333e+02,5.840815915812e+07,4.166666666667e+02
3000.000000,3.750000000000e+02,3.750000000000e+02,3.749980092839e+02,3.750000000000e+02,5.840815915812e+07,4.166666666667e+02
3000.000000,4.166666666667e+02,4.166666666667e+02,4.166636943101e+02,4.166666666667e+02,5.840815915812e+07,4.166666666667e+02
